segments.date,segments.hour,campaign.name,campaign.status,metrics.impressions,metrics.clicks,metrics.ctr,metrics.average_cpc,metrics.cost_micros,metrics.conversions,metrics.absolute_top_impression_percentage,metrics.top_impression_percentage
2026-04-18,11,Sales-Search-1,ENABLED,6,0,0.0,0.0,0,0.0,0.5,0.75
2026-04-18,12,Sales-Search-1,ENABLED,9,0,0.0,0.0,0,0.0,0.3333333333333333,0.6666666666666666
2026-04-18,13,Sales-Search-1,ENABLED,8,0,0.0,0.0,0,0.0,0.16666666666666666,1.0
2026-04-18,14,Sales-Search-1,ENABLED,2,1,0.5,30980000.0,30980000,0.0,1.0,1.0
2026-04-18,15,Sales-Search-1,ENABLED,5,1,0.2,3400000.0,3400000,0.0,0.5,0.5
2026-04-18,16,Sales-Search-1,ENABLED,4,0,0.0,0.0,0,0.0,0.3333333333333333,1.0
2026-04-18,17,Sales-Search-1,ENABLED,24,2,0.08333333333333333,3270000.0,6540000,0.0,0.23529411764705882,1.0
2026-04-18,18,Sales-Search-1,ENABLED,3,1,0.3333333333333333,13390000.0,13390000,0.0,0.5,1.0
2026-04-18,20,Sales-Search-1,ENABLED,10,1,0.1,10840000.0,10840000,0.0,0.0,1.0
2026-04-18,21,Sales-Search-1,ENABLED,6,1,0.16666666666666666,2140000.0,2140000,1.0,0.0,1.0
2026-04-18,22,Sales-Search-1,ENABLED,10,1,0.1,8194108.0,8194108,0.0,0.2857142857142857,0.7142857142857143
2026-04-18,23,Sales-Search-1,ENABLED,1,1,1.0,11360000.0,11360000,0.0,0.0,1.0
2026-04-19,0,Sales-Search-1,ENABLED,5,0,0.0,0.0,0,0.0,0.3333333333333333,1.0
2026-04-19,2,Sales-Search-1,ENABLED,4,0,0.0,0.0,0,0.0,0.0,1.0
2026-04-19,3,Sales-Search-1,ENABLED,4,0,0.0,0.0,0,0.0,1.0,1.0
2026-04-19,7,Sales-Search-1,ENABLED,12,0,0.0,0.0,0,0.0,0.375,1.0
2026-04-19,8,Sales-Search-1,ENABLED,11,1,0.09090909090909091,11370000.0,11370000,0.0,0.2857142857142857,0.8571428571428571
2026-04-19,9,Sales-Search-1,ENABLED,3,0,0.0,0.0,0,0.0,0.0,1.0
2026-04-19,10,Sales-Search-1,ENABLED,6,2,0.3333333333333333,10305000.0,20610000,0.0,0.25,0.75
2026-04-19,11,Sales-Search-1,ENABLED,8,1,0.125,25710000.0,25710000,0.0,0.16666666666666666,1.0
2026-04-19,12,Sales-Search-1,ENABLED,9,0,0.0,0.0,0,0.0,0.125,0.875
2026-04-19,13,Sales-Search-1,ENABLED,10,0,0.0,0.0,0,0.0,0.0,1.0
2026-04-19,14,Sales-Search-1,ENABLED,4,1,0.25,44940000.0,44940000,0.0,0.0,1.0
2026-04-19,15,Sales-Search-1,ENABLED,10,0,0.0,0.0,0,0.0,0.14285714285714285,1.0
2026-04-19,16,Sales-Search-1,ENABLED,2,1,0.5,5850000.0,5850000,0.0,0.0,1.0
2026-04-19,17,Sales-Search-1,ENABLED,4,0,0.0,0.0,0,0.0,0.0,1.0
2026-04-19,18,Sales-Search-1,ENABLED,5,1,0.2,6310000.0,6310000,0.0,0.0,1.0
2026-04-19,19,Sales-Search-1,ENABLED,8,0,0.0,0.0,0,0.0,0.3333333333333333,1.0
2026-04-19,20,Sales-Search-1,ENABLED,3,0,0.0,0.0,0,0.0,0.0,1.0
2026-04-19,21,Sales-Search-1,ENABLED,10,0,0.0,0.0,0,0.0,0.16666666666666666,1.0
2026-04-19,22,Sales-Search-1,ENABLED,8,0,0.0,0.0,0,0.0,0.0,1.0
2026-04-19,23,Sales-Search-1,ENABLED,2,0,0.0,0.0,0,0.0,0.0,1.0
2026-04-20,3,Sales-Search-1,ENABLED,1,0,0.0,0.0,0,0.0,0.0,1.0
2026-04-20,6,Sales-Search-1,ENABLED,7,0,0.0,0.0,0,0.0,0.0,1.0
2026-04-20,7,Sales-Search-1,ENABLED,1,1,1.0,16590000.0,16590000,0.0,0.0,1.0
2026-04-20,8,Sales-Search-1,ENABLED,10,1,0.1,19150000.0,19150000,0.0,0.375,0.875
2026-04-20,9,Sales-Search-1,ENABLED,15,1,0.06666666666666667,4240000.0,4240000,0.0,0.0,0.6666666666666666
2026-04-20,10,Sales-Search-1,ENABLED,27,2,0.07407407407407407,18150000.0,36300000,1.0,0.09090909090909091,0.8636363636363636
2026-04-20,11,Sales-Search-1,ENABLED,31,1,0.03225806451612903,6630000.0,6630000,0.0,0.22727272727272727,0.9090909090909091
2026-04-20,12,Sales-Search-1,ENABLED,10,0,0.0,0.0,0,0.0,0.125,0.625
2026-04-20,13,Sales-Search-1,ENABLED,37,2,0.05405405405405406,16425000.0,32850000,1.0,0.07407407407407407,0.7777777777777778
2026-04-20,14,Sales-Search-1,ENABLED,17,2,0.11764705882352941,21450000.0,42900000,0.0,0.5454545454545454,0.9090909090909091
2026-04-20,15,Sales-Search-1,ENABLED,23,3,0.13043478260869565,9333679.666666666,28001039,0.0,0.13333333333333333,0.9333333333333333
2026-04-20,16,Sales-Search-1,ENABLED,25,2,0.08,10195000.0,20390000,0.0,0.3125,0.75
2026-04-20,17,Sales-Search-1,ENABLED,31,1,0.03225806451612903,5790000.0,5790000,0.0,0.391304347826087,0.9565217391304348
2026-04-20,18,Sales-Search-1,ENABLED,10,1,0.1,20020000.0,20020000,0.0,0.125,1.0
2026-04-20,19,Sales-Search-1,ENABLED,26,1,0.038461538461538464,6560000.0,6560000,0.0,0.16666666666666666,0.9444444444444444
2026-04-20,20,Sales-Search-1,ENABLED,22,1,0.045454545454545456,24390000.0,24390000,0.0,0.2,0.8666666666666667
2026-04-20,21,Sales-Search-1,ENABLED,13,0,0.0,0.0,0,0.0,0.4444444444444444,0.7777777777777778
2026-04-20,22,Sales-Search-1,ENABLED,17,0,0.0,0.0,0,0.0,0.18181818181818182,0.9090909090909091
2026-04-20,23,Sales-Search-1,ENABLED,1,0,0.0,0.0,0,0.0,0.0,1.0
2026-04-21,0,Sales-Search-1,ENABLED,3,1,0.3333333333333333,2200000.0,2200000,0.0,0.5,0.5
2026-04-21,1,Sales-Search-1,ENABLED,5,0,0.0,0.0,0,0.0,0.0,0.5
2026-04-21,4,Sales-Search-1,ENABLED,7,1,0.14285714285714285,9340000.0,9340000,0.0,0.25,1.0
2026-04-21,6,Sales-Search-1,ENABLED,1,0,0.0,0.0,0,0.0,0.0,1.0
2026-04-21,7,Sales-Search-1,ENABLED,8,0,0.0,0.0,0,0.0,0.0,0.8
2026-04-21,8,Sales-Search-1,ENABLED,11,1,0.09090909090909091,7550000.0,7550000,0.0,0.5,1.0
2026-04-21,9,Sales-Search-1,ENABLED,16,0,0.0,0.0,0,0.0,0.16666666666666666,0.8333333333333334
2026-04-21,10,Sales-Search-1,ENABLED,27,2,0.07407407407407407,9655000.0,19310000,0.0,0.21052631578947367,0.9473684210526315
2026-04-21,11,Sales-Search-1,ENABLED,13,1,0.07692307692307693,1720000.0,1720000,0.0,0.3,0.9
2026-04-21,12,Sales-Search-1,ENABLED,26,0,0.0,0.0,0,0.0,0.35294117647058826,0.8823529411764706
