segments.date,campaign.name,ad_group.name,ad_group_ad.ad.id,ad_group_ad.ad.type,ad_group_ad.ad.name,ad_group_ad.status,ad_group_ad.ad.final_urls,metrics.impressions,metrics.clicks,metrics.ctr,metrics.average_cpc,metrics.cost_micros,metrics.conversions
2026-08-05,Sales-Search-1,NY PLLC Formation,780467444330,RESPONSIVE_SEARCH_AD,,ENABLED,['https://www.nypllc.com'],98,2,0.02040816326530612,1923679.0,3847358,1.0
2026-08-06,01_Core_Exact_NY,Brand,816213511561,RESPONSIVE_SEARCH_AD,Brand — controlled,ENABLED,['https://www.nypllc.com/'],1,0,0.0,0.0,0,0.0
2026-08-06,01_Core_Exact_NY,Brand,816213555055,RESPONSIVE_SEARCH_AD,Brand — unpinned,ENABLED,['https://www.nypllc.com/'],1,0,0.0,0.0,0,0.0
2026-08-06,01_Core_Exact_NY,Formation-Core,816213581518,RESPONSIVE_SEARCH_AD,Formation-Core — controlled,ENABLED,['https://www.nypllc.com/how-to-form-a-pllc-in-ny'],3,1,0.3333333333333333,9310000.0,9310000,0.0
2026-08-06,01_Core_Exact_NY,Formation-Core,816286133015,RESPONSIVE_SEARCH_AD,Formation-Core — unpinned,ENABLED,['https://www.nypllc.com/how-to-form-a-pllc-in-ny'],10,0,0.0,0.0,0,0.0
2026-08-06,01_Core_Exact_NY,Service-Intent,816213581680,RESPONSIVE_SEARCH_AD,Service-Intent — controlled,ENABLED,['https://www.nypllc.com/how-to-form-a-pllc-in-ny'],1,0,0.0,0.0,0,0.0
2026-08-06,01_Core_Exact_NY,Service-Intent,816286167770,RESPONSIVE_SEARCH_AD,Service-Intent — unpinned,ENABLED,['https://www.nypllc.com/how-to-form-a-pllc-in-ny'],1,1,1.0,6820000.0,6820000,0.0
2026-08-06,Sales-Search-1,NY PLLC Formation,780467444330,RESPONSIVE_SEARCH_AD,,ENABLED,['https://www.nypllc.com'],125,8,0.064,11097500.0,88780000,2.0
2026-08-07,01_Core_Exact_NY,Cost-Price,816213589888,RESPONSIVE_SEARCH_AD,Cost-Price — controlled,ENABLED,['https://www.nypllc.com/order'],1,1,1.0,1960000.0,1960000,0.0
2026-08-07,01_Core_Exact_NY,Cost-Price,816286168247,RESPONSIVE_SEARCH_AD,Cost-Price — unpinned,ENABLED,['https://www.nypllc.com/order'],1,0,0.0,0.0,0,0.0
2026-08-07,01_Core_Exact_NY,Formation-Core,816213581518,RESPONSIVE_SEARCH_AD,Formation-Core — controlled,ENABLED,['https://www.nypllc.com/how-to-form-a-pllc-in-ny'],1,1,1.0,3440000.0,3440000,0.0
2026-08-07,01_Core_Exact_NY,Formation-Core,816286133015,RESPONSIVE_SEARCH_AD,Formation-Core — unpinned,ENABLED,['https://www.nypllc.com/how-to-form-a-pllc-in-ny'],5,0,0.0,0.0,0,0.0
2026-08-07,01_Core_Exact_NY,Service-Intent,816213581680,RESPONSIVE_SEARCH_AD,Service-Intent — controlled,ENABLED,['https://www.nypllc.com/how-to-form-a-pllc-in-ny'],1,0,0.0,0.0,0,0.0
2026-08-07,02_Professions_NY,Physical-Therapy,816213137656,RESPONSIVE_SEARCH_AD,Physical-Therapy — controlled,ENABLED,['https://www.nypllc.com/professions/physical-therapist'],1,0,0.0,0.0,0,0.0
2026-08-07,02_Professions_NY,Therapists-LCSW,816177627501,RESPONSIVE_SEARCH_AD,Therapists-LCSW — unpinned,ENABLED,['https://www.nypllc.com/professions/lcsw'],3,1,0.3333333333333333,12380000.0,12380000,0.0
